Index,Time,(Imu_info).Gyro[0],(Imu_info).Gyro[1],(Imu_info).Gyro[2],(Imu_info).Accel[0],(Imu_info).Accel[1],(Imu_info).Accel[2]
6270,62.709799,0.00725033041,-0.0104610268,-0.0206437595,-1.9811331,0.111897334,9.82862186
6271,62.720153,-0.00340231415,0.00125688268,0.00811837986,-1.90959227,0.187107027,9.85797119
6272,62.729848,0.00831559487,-0.00513470406,0.00598785095,-1.9609549,0.216457129,9.81394672
6273,62.739864,-0.0108591653,-0.00193891069,-0.0131869093,-2.01782084,0.146750599,9.82311821
6274,62.750383,0.00618506595,-0.00193891069,-0.0121216448,-1.92793608,0.190775767,9.87081146
6275,62.760260,0.00192400813,-0.0040694396,0.00811837986,-2.00314569,0.0898847431,9.84146214
6276,62.770029,0.00938085932,-0.0243094638,0.0134447021,-1.9609549,0.130241156,9.86163998
6277,62.779971,0.000858743675,-0.0040694396,0.0219668187,-2.00314569,0.179769486,9.81944942
6278,62.789969,-0.00872863643,-0.00513470406,-0.0153174382,-1.94627988,0.16509442,9.91850567
6279,62.799894,0.0051198015,-0.00193891069,-0.000403735641,-1.9829675,0.130241156,9.81944942
6280,62.810068,0.00298927259,-0.00193891069,-0.0227742903,-1.9627893,0.128406778,9.85063457
6281,62.819994,-0.00553284306,0.0087137334,-0.0163827017,-2.00314569,0.111897334,9.82862186
6282,62.829930,-0.0129896943,-0.0264399927,-0.0302311406,-1.9609549,0.121069245,9.83962727
6283,62.839864,-0.00659810752,-0.0104610268,0.00492258649,-1.96645796,0.16509442,9.85063457
6284,62.850244,0.00725033041,0.00232214713,-0.0153174382,-1.9811331,0.177935109,9.85797119
6285,62.859860,0.00192400813,-0.0136568202,-0.0153174382,-1.94811416,0.170597568,9.83962727
6286,62.870020,0.0200335048,0.00232214713,0.029423669,-1.98847067,0.126572385,9.87814999
6287,62.879966,-0.00659810752,-0.0040694396,-0.0217090249,-1.99580812,0.152253747,9.85797119
6288,62.889900,0.00298927259,-0.0179178771,0.00598785095,-1.92243278,0.152253747,9.84513092
6289,62.899830,-0.0151202232,-0.0179178771,-0.00679532252,-1.95361733,0.152253747,9.78276253
6290,62.910192,0.00831559487,-0.0147220846,0.00172679324,-1.94811416,0.122903623,9.81578064
6291,62.919950,0.015772447,-0.00833049789,0.00172679324,-1.91326094,0.135744303,9.77909279
6292,62.930145,-0.00553284306,-0.0040694396,0.00811837986,-1.97562993,0.157756895,9.85063457
6293,62.940090,-0.000206520781,-0.0115262913,0.0134447021,-1.99764252,0.100891039,9.81944942
6294,62.950261,0.00405453704,0.00338741159,0.00811837986,-1.98480177,0.130241156,9.86714363
6295,62.960053,0.0051198015,-0.0115262913,-0.00679532252,-1.96829236,0.152253747,9.84513092
6296,62.969997,0.0051198015,-0.0168526117,-0.00892585143,-2.03983331,0.135744303,9.84513092
6297,62.980195,0.000858743675,-0.00939576235,-0.0238395538,-1.9609549,0.104559802,9.84329605
6298,62.990119,-0.00233704969,-0.0168526117,-0.019578496,-1.8820765,0.0935535133,9.72039223
6299,63.000120,0.00298927259,0.00232214713,0.0219668187,-1.95912051,0.181603864,9.88181877
6300,63.009927,-0.00979390088,-0.0179178771,0.000661528786,-1.92977035,0.161425665,9.86714363
6301,63.019856,0.00725033041,-0.0040694396,0.0230320822,-2.01598644,0.135744303,9.77725887
6302,63.029868,0.000858743675,-0.0179178771,-0.0206437595,-2.00681448,0.117400482,9.83412457
6303,63.040085,0.00298927259,0.000191618165,0.0230320822,-1.94994855,0.100891039,9.82311821
6304,63.050004,-0.0129896943,-0.0125915557,0.0102489088,-1.96462369,0.102725424,9.82862186
6305,63.059962,0.00831559487,0.00338741159,0.00598785095,-1.99580812,0.130241156,9.81578064
6306,63.069902,0.0189682394,0.00232214713,0.0187710244,-1.96829236,0.168763191,9.85063457
6307,63.079835,0.00938085932,-0.0157873482,0.00598785095,-1.97379565,0.170597568,9.84146214
6308,63.090209,-0.00233704969,-0.00833049789,-0.0238395538,-1.96829236,0.16509442,9.87081146
6309,63.099968,0.00405453704,0.00977899786,-0.0131869093,-1.99764252,0.163260028,9.74057102
6310,63.110009,0.0136419171,-0.0125915557,0.0113141732,-1.90042031,0.117400482,9.8066082
6311,63.119936,0.0104461238,0.00338741159,-0.000403735641,-1.98663616,0.0697065294,9.81211185
6312,63.129867,-0.00340231415,-0.00939576235,0.00811837986,-1.99764252,0.155922517,9.89282513
6313,63.140229,0.00192400813,0.00445267605,-0.00999111589,-1.99947691,0.207285225,9.85613728
6314,63.149980,-0.00553284306,0.0108442623,-0.00573005807,-1.95912051,0.128406778,9.88915539
6315,63.159938,0.0168377124,-0.0040694396,0.00385732227,-1.95178294,0.139413059,9.82678699
6316,63.169869,-0.0044675786,0.00125688268,-0.0110563803,-1.93710792,0.113731712,9.85797119
6317,63.179883,0.0115113882,-0.0232442003,-0.0121216448,-1.96645796,0.102725424,9.83779335
6318,63.189818,-0.0044675786,-0.0147220846,-0.0142521737,-1.95545185,0.117400482,9.84696579
6319,63.200057,-0.00127178524,0.00445267605,-0.019578496,-1.9426111,0.161425665,9.85246754
6320,63.209999,-0.0129896943,-0.00726523297,-0.00253426447,-1.99397373,0.143081829,9.81944942
6321,63.219947,-0.000206520781,-0.00939576235,-0.00786058698,-1.9811331,0.111897334,9.80110645
6322,63.229905,0.000858743675,0.0108442623,-0.00146900013,-1.99397373,0.0770440623,9.82678699
6323,63.239836,0.0051198015,-0.0104610268,-0.00786058698,-1.95728612,0.133909926,9.83045578
6324,63.250451,-0.00127178524,-0.00833049789,-0.0163827017,-1.97929871,0.110062949,9.87264633
6325,63.260390,-0.00766337197,0.0087137334,0.00492258649,-1.97746432,0.148584977,9.84696579
6326,63.270150,-0.0257728659,-0.0275052581,-0.0302311406,-1.98847067,0.0770440623,9.85246754
6327,63.280050,0.000858743675,-0.0136568202,-0.033426933,-1.92243278,0.179769486,9.90199661
6328,63.289959,0.00938085932,-0.0115262913,-0.00892585143,-1.99030507,0.133909926,9.82862186
6329,63.299879,-0.0119244298,0.00125688268,-0.0259700827,-1.99580812,0.0917191282,9.81944942
6330,63.310145,0.0051198015,-0.0136568202,0.00279205781,-1.91509533,0.159591287,9.86897755
6331,63.320109,-0.000206520781,-0.00726523297,0.00172679324,-1.94627988,0.152253747,9.8066082
6332,63.330035,0.00192400813,-0.00513470406,-0.000403735641,-1.97012675,0.163260028,9.83962727
6333,63.339977,0.00725033041,-0.0232442003,-0.0153174382,-1.97746432,0.152253747,9.79376793
6334,63.349984,-0.00979390088,-0.0040694396,-0.00253426447,-1.96829236,0.181603864,9.84329605
6335,63.360207,0.00725033041,0.00232214713,0.00172679324,-1.97012675,0.163260028,9.85797119
6336,63.370107,0.0168377124,0.00338741159,0.0155752301,-2.00864887,0.152253747,9.86714363
6337,63.380263,-0.0140549587,-0.0157873482,-0.000403735641,-1.99580812,0.154088125,9.92034054
6338,63.390045,-0.000206520781,-0.0136568202,-0.0121216448,-1.97012675,0.144916207,9.83045578
6339,63.399985,-0.0151202232,-0.0221789349,-0.0238395538,-1.94811416,0.24213849,9.83045578
6340,63.409977,-0.0183160156,0.00125688268,0.00172679324,-1.97196126,0.130241156,9.79743671
6341,63.420135,-0.00766337197,-0.00513470406,0.00172679324,-1.95728612,0.144916207,9.86530972
6342,63.430064,-0.0140549587,-0.0136568202,0.00172679324,-1.98480177,0.172431946,9.81394672
6343,63.439997,-0.00127178524,-0.0040694396,-0.0121216448,-2.00864887,0.157756895,9.85797119
6344,63.449920,0.00725033041,0.00125688268,-0.00253426447,-1.95361733,0.172431946,9.8744812
6345,63.459840,0.00831559487,-0.00833049789,-0.00573005807,-1.98663616,0.141247451,9.83962727
6346,63.470258,-0.000206520781,-0.0104610268,0.00492258649,-2.01782084,0.157756895,9.84696579
